lon,lat,mag,day,month,year,depth
-175.5599976,51.43000031,5.869088173,4,11,1977,30
161,-10.10999966,5.614091873,5,11,1977,30
-175.5500031,51.54000092,5.981744766,5,11,1977,30
159.8099976,53.54999924,5.303585529,6,11,1977,30
144.9799957,15.27999973,5.653189182,7,11,1977,30
156.0899963,-7.150000095,5.722031593,7,11,1977,30
154.3099976,47.38999939,5.492304325,8,11,1977,30
-27.86000061,-55.95999908,5.351403236,17,11,1977,30
139.8699951,33.63999939,5.671636581,17,11,1977,30
88.38999939,32.68999863,6.389297962,18,11,1977,30
102.0199966,-4.349999905,6.111447811,18,11,1977,30
-27.82999992,-56.02999878,5.577911854,19,11,1977,30
-112.9700012,29.27000046,5.99326992,21,11,1977,30
-179.8899994,-31.45000076,5.484223843,21,11,1977,30
123.5800018,6.829999924,5.84576273,21,11,1977,30
161.1300049,-10.22999954,6.32137537,22,11,1977,30
-123.2600021,39.45000076,5.209562302,22,11,1977,30
-67.76999664,-31.03000069,7.446341991,23,11,1977,30
-171.5500031,52.20000076,5.966919899,23,11,1977,30
-67.62999725,-31.29999924,5.565804005,24,11,1977,30
-178.1199951,-17.95999908,5.444781303,26,11,1977,30
-174.3999939,-15.27000046,5.621836185,26,11,1977,30
125.4700012,11.80000019,6.020222664,27,11,1977,30
153.2799988,46.41999817,5.995614529,27,11,1977,30
120.5999985,-0.829999983,5.836204052,27,11,1977,30
-178.4299927,-20.47999954,5.820819855,27,11,1977,30
-155.3800049,58.56000137,5.335869312,27,11,1977,30
-90.65000153,-41.54999924,5.71840477,27,11,1977,30
27.76000023,36.04999924,5.411655903,28,11,1977,30
-67.75,-31.68000031,5.568879128,28,11,1977,30
-67.43000031,-31.35000038,6.136900902,28,11,1977,30
-178.4199982,-20.61000061,5.764422894,30,11,1977,30
145.0299988,-5.03000021,6.030752182,2,12,1977,30
159.7100067,52.93000031,5.647805691,2,12,1977,30
95.88999939,3.50999999,6.036890507,3,12,1977,30
-176.0800018,-23.88999939,6.145375729,4,12,1977,30
-175.9499969,-23.92000008,5.966919899,5,12,1977,30
-67.69999695,-30.96999931,5.730904102,5,12,1977,30
-67.72000122,-31.17000008,5.866911411,6,12,1977,30
118.2600021,-11.22000027,5.96354866,6,12,1977,30
-67.38999939,-28.56999969,5.455533981,7,12,1977,30
-11.89000034,-19.88999939,5.256950855,7,12,1977,30
144.6100006,13.64000034,5.526110649,7,12,1977,30
-175.6000061,-24.14999962,5.975054741,8,12,1977,30
28.06999969,-51.86999893,5.344626427,8,12,1977,30
129.3399963,-7.179999828,5.254847527,9,12,1977,30
56.56999969,27.69000053,5.597029686,10,12,1977,30
-67.63999939,-31.19000053,5.455533981,10,12,1977,30
152.8399963,47.59000015,5.808609009,10,12,1977,30
-69.55999756,9.520000458,5.447894573,11,12,1977,30
-54.84999847,17.36000061,6.377678871,13,12,1977,30
124.0899963,-0.140000001,5.436848164,13,12,1977,30
58.04000092,-33.79000092,5.498869896,14,12,1977,30
125.2900009,10,5.782524109,14,12,1977,30
-179.1499939,-21.10000038,5.551007271,14,12,1977,30
34.90999985,-4.760000229,5.657724857,15,12,1977,30
140.9900055,36.61999893,5.511570454,16,12,1977,30
-170.1000061,52.22999954,5.613218784,17,12,1977,30
-178.7899933,-21.04999924,5.391680717,17,12,1977,30
-170.0299988,52.20999908,5.796325207,17,12,1977,30
50.93999863,13.13000011,5.440047741,17,12,1977,30
77.33000183,39.86999893,5.89134407,18,12,1977,30
-176.4400024,51.18999863,5.409895897,19,12,1977,30
56.47000122,30.95000076,5.855774403,19,12,1977,30
153.0200043,48.59000015,5.699556351,20,12,1977,30
143.1100006,25.51000023,6.545003891,21,12,1977,30
159.8000031,52.93000031,5.599791527,21,12,1977,30
126.7200012,-0.959999979,5.382123947,21,12,1977,30
127.8099976,29.54999924,5.96380949,22,12,1977,30
55.29999924,-34.41999817,5.713497162,22,12,1977,30
-0.5,72.01999664,5.249981403,23,12,1977,30
143.1600037,39.13000107,6.080071926,23,12,1977,30
126.8300018,2.50999999,5.556379318,26,12,1977,30
-178.6300049,-17.96999931,5.355692387,27,12,1977,30
-153.6999969,60.38999939,5.400931358,27,12,1977,30
40.27999878,16.65999985,6.597966194,28,12,1977,30
-17.29000092,64.59999847,5.374245167,28,12,1977,30
138.3699951,28.53000069,5.714115143,29,12,1977,30
151.7700043,-5.070000172,5.832536697,30,12,1977,30
15.42000008,40,5.896321774,30,12,1977,30
-71.68000031,-15.30000019,6.154959202,31,12,1977,30
44.24000168,41.54000092,5.561653137,2,1,1978,30
-71.09999847,-38.13999939,5.457038403,2,1,1978,30
-23.82999992,85.73999786,5.196210861,4,1,1978,30
-84.12999725,9.510000229,5.436848164,4,1,1978,30
-126.9100037,-20.82999992,5.172358036,5,1,1978,30
121.9000015,18.79000092,6.106714249,6,1,1978,30
152.2700043,46.83000183,5.71534729,10,1,1978,30
138.75,29.96999931,5.404550552,11,1,1978,30
-172.1199951,-17.53000069,5.209914684,12,1,1978,30
149.6999969,44.68999863,6.024480343,13,1,1978,30
139.2599945,34.81000137,6.64619875,14,1,1978,30
149.6900024,44.45999908,5.380174637,14,1,1978,30
126.4199982,1.669999957,5.620985985,14,1,1978,30
-177.4900055,-30.12000084,6.2655406,14,1,1978,30
138.8000031,34.79999924,5.819535732,14,1,1978,30
-177.5500031,-30.20999908,6.214402676,15,1,1978,30
70.72000122,36.38999939,5.335869312,16,1,1978,30
-67.87000275,-31.29000092,5.954002857,17,1,1978,30
40.25999832,16.52000046,5.366146088,17,1,1978,30
159.4799957,-9.789999962,5.648581028,20,1,1978,30
-70.19000244,-34.27999878,5.588582516,20,1,1978,30
123.3600006,-4.170000076,5.441634178,20,1,1978,30
-72.37999725,6.380000114,5.400931358,21,1,1978,30
-73.66000366,-16.12999916,5.269547462,22,1,1978,30
149.7200012,44.72999954,5.960401535,24,1,1978,30
148.8699951,-5.980000019,6.108300686,24,1,1978,30
165.7599945,-62.45000076,5.404550552,24,1,1978,30
121.6399994,-8.130000114,5.329647541,25,1,1978,30
151.6799927,-5.340000153,6.589384556,25,1,1978,30
145.0299988,-5.400000095,5.385984421,26,1,1978,30
144.8200073,13.46000004,5.454022408,27,1,1978,30
-177.3000031,-25.92000008,6.382627964,28,1,1978,30
149.1499939,45.97000122,5.312123775,29,1,1978,30
-177.2299957,-29.84000015,5.646249294,29,1,1978,30
